Entity,"Land use per kilogram (Poore & Nemecek, 2018)"
Apples,0.63
Bananas,1.93
Barley,1.11
Beef (beef herd),326.21
Beef (dairy herd),43.24
Beet Sugar,1.83
Berries & Grapes,2.41
Brassicas,0.55
Cane Sugar,2.04
Cassava,1.81
Cheese,87.79
Citrus Fruit,0.86
Coffee,21.62
Dark Chocolate,68.96
Eggs,6.27
Fish (farmed),8.41
Groundnuts,9.11
Lamb & Mutton,369.81
Maize,2.94
Milk,8.95
Nuts,12.96
Oatmeal,7.6
Olive Oil,26.31
Onions & Leeks,0.39
Other Fruit,0.89
Other Pulses,15.57
Other Vegetables,0.38
Palm Oil,2.42
Peas,7.46
Pig Meat,17.36
Potatoes,0.88
Poultry Meat,12.22
Prawns (farmed),2.97
Rapeseed Oil,10.63
Rice,2.8
Root Vegetables,0.33
Soybean Oil,10.52
Soymilk,0.66
Sunflower Oil,17.66
Tofu (soybeans),3.52
Tomatoes,0.8
Wheat & Rye,3.85
Wine,1.78
